Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;6817;22;53
Rust(Stadt);102;2000;865;2;1
Eisenstadt-Umgebung;103;43861;19247;68;161
Güssing;104;25770;11334;94;61
Jennersdorf;105;17109;7568;41;42
Mattersburg;106;40316;17635;82;175
Neusiedl am See;107;60397;26772;83;185
Oberpullendorf;108;37453;16061;63;132
Oberwart;109;54209;23714;145;130
Klagenfurt Stadt;201;101765;41456;272;233
Villach Stadt;202;63236;26085;172;112
Hermagor;203;18052;8280;61;42
Klagenfurt Land;204;60503;26232;125;189
Sankt Veit an der Glan;205;53880;23820;163;102
Spittal an der Drau;206;75628;34747;262;136
Villach Land;207;64920;28889;189;120
Völkermarkt;208;41834;20001;116;114
Wolfsberg;209;52488;23613;178;152
Feldkirchen;210;29783;13505;82;41
Krems an der Donau(Stadt);301;24837;10677;72;75
Sankt Pölten(Stadt);302;55878;26139;131;154
Waidhofen an der Ybbs(Stadt);303;11134;6099;38;32
Wiener Neustadt(Stadt);304;46456;21855;177;129
Amstetten;305;116592;67324;300;231
Baden;306;147113;67037;311;425
Bruck an der Leitha;307;105507;46767;215;376
Gänserndorf;308;105824;44745;165;374
Gmünd;309;36275;16578;152;93
Hollabrunn;310;51332;21321;90;155
Horn;311;30838;13424;60;75
Korneuburg;312;91777;38343;137;421
Krems(Land);313;56559;27137;97;160
Lilienfeld;314;25474;13496;113;80
Melk;315;78281;43382;268;163
Mistelbach;316;75655;31920;96;397
Mödling;317;119240;50311;263;421
Neunkirchen;318;86323;40457;246;289
Sankt Pölten(Land);319;132064;63586;289;432
Scheibbs;320;41567;24221;94;86
Tulln;321;105762;45315;201;431
Waidhofen an der Thaya;322;25531;11951;67;52
Wiener Neustadt(Land);323;79033;38069;195;222
Zwettl;325;41827;22150;84;103
Linz(Stadt);401;206537;89895;426;548
Steyr(Stadt);402;37952;16915;65;88
Wels(Stadt);403;62654;30356;154;100
Braunau am Inn;404;106492;59763;252;278
Eferding;405;33368;16723;73;86
Freistadt;406;66922;36417;182;171
Gmunden;407;102102;52647;226;182
Grieskirchen;408;65137;35301;142;145
Kirchdorf an der Krems;409;57163;29068;147;115
Linz-Land;410;152391;73003;275;407
Perg;411;69241;37776;147;171
Ried im Innkreis;412;61850;33826;166;122
Rohrbach;413;56623;30336;156;117
Schärding;414;57438;30527;153;176
Steyr-Land;415;60936;31540;145;147
Urfahr-Umgebung;416;86235;44367;153;295
Vöcklabruck;417;137993;75043;326;267
Wels-Land;418;74574;39799;114;174
Salzburg(Stadt);501;155416;74404;284;459
Hallein;502;60992;35919;137;130
Salzburg-Umgebung;503;154624;88961;296;505
Sankt Johann im Pongau;504;81392;46121;184;89
Tamsweg;505;20118;10866;64;46
Zell am See;506;88168;44629;183;145
Graz(Stadt);601;291134;120104;533;779
Deutschlandsberg;603;60871;28039;174;137
Graz-Umgebung;606;157853;71330;414;414
Leibnitz;610;85294;39871;179;171
Leoben;611;59151;23170;184;111
Liezen;612;79592;36154;215;139
Murau;614;27449;11696;59;47
Voitsberg;616;50947;22106;177;86
Weiz;617;90916;44340;250;182
Murtal;620;71356;30531;268;177
Bruck-Mürzzuschlag;621;98054;38848;349;245
Hartberg-Fürstenfeld;622;90619;42042;300;117
Südoststeiermark;623;83841;38675;284;140
Innsbruck-Stadt;701;131059;61232;218;463
Imst;702;60922;33436;85;132
Innsbruck-Land;703;181698;91425;260;707
Kitzbühel;704;64676;32219;95;127
Kufstein;705;111080;58610;235;272
Landeck;706;44346;25418;84;80
Lienz;707;48814;26130;133;118
Reutte;708;33054;16130;23;156
Schwaz;709;84456;42342;200;163
Bludenz;801;64368;34238;87;137
Bregenz;802;135310;67765;225;393
Dornbirn;803;90502;46516;159;214
Feldkirch;804;109057;56358;166;253
Wien;900;1920949;894590;3968;7467
