Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;9836;25;70
Rust(Stadt);102;2021;1220;5;5
Eisenstadt-Umgebung;103;44488;27939;74;140
Güssing;104;25809;15707;101;72
Jennersdorf;105;17216;9667;44;39
Mattersburg;106;40731;25458;86;168
Neusiedl am See;107;61358;39349;85;250
Oberpullendorf;108;37556;23246;68;164
Oberwart;109;54682;32635;144;174
Klagenfurt Stadt;201;103297;56943;299;165
Villach Stadt;202;64125;34609;174;93
Hermagor;203;18069;10387;63;26
Klagenfurt Land;204;61114;34663;127;86
Sankt Veit an der Glan;205;53953;31916;167;50
Spittal an der Drau;206;75725;43222;275;96
Villach Land;207;65635;37479;205;98
Völkermarkt;208;41947;25605;121;52
Wolfsberg;209;52352;29489;200;82
Feldkirchen;210;29949;16869;83;23
Krems an der Donau(Stadt);301;24930;14803;74;73
Sankt Pölten(Stadt);302;56697;35655;146;185
Waidhofen an der Ybbs(Stadt);303;11187;7741;41;18
Wiener Neustadt(Stadt);304;47407;29508;212;143
Amstetten;305;117442;85295;309;250
Baden;306;148765;93114;344;621
Bruck an der Leitha;307;107297;67928;218;420
Gänserndorf;308;107504;65439;207;426
Gmünd;309;36152;21609;157;67
Hollabrunn;310;51879;30720;109;214
Horn;311;30875;18162;60;71
Korneuburg;312;92442;57853;145;313
Krems(Land);313;56840;36623;105;194
Lilienfeld;314;25491;16921;110;39
Melk;315;78779;56490;347;204
Mistelbach;316;76641;46321;107;239
Mödling;317;120412;74328;293;491
Neunkirchen;318;87048;54522;250;257
Sankt Pölten(Land);319;133497;88925;336;428
Scheibbs;320;41711;30204;95;98
Tulln;321;107723;66673;213;461
Waidhofen an der Thaya;322;25644;16002;77;60
Wiener Neustadt(Land);323;80020;51403;214;250
Zwettl;325;41757;28530;84;107
Linz(Stadt);401;208445;119752;460;415
Steyr(Stadt);402;37915;22003;75;57
Wels(Stadt);403;63542;38187;162;114
Braunau am Inn;404;108388;73915;266;133
Eferding;405;33715;22127;79;79
Freistadt;406;67638;46446;191;150
Gmunden;407;102765;67488;251;226
Grieskirchen;408;65929;45566;151;169
Kirchdorf an der Krems;409;57882;37560;160;115
Linz-Land;410;154320;95924;290;313
Perg;411;69905;48112;152;128
Ried im Innkreis;412;62535;42778;170;98
Rohrbach;413;57034;38888;164;100
Schärding;414;57750;38426;155;79
Steyr-Land;415;61494;41150;154;109
Urfahr-Umgebung;416;87466;59402;160;141
Vöcklabruck;417;139989;95565;336;222
Wels-Land;418;75514;51401;120;160
Salzburg(Stadt);501;155743;98649;317;346
Hallein;502;61262;44454;144;78
Salzburg-Umgebung;503;155982;112959;312;251
Sankt Johann im Pongau;504;81962;55749;184;111
Tamsweg;505;20327;13572;67;32
Zell am See;506;89017;54700;194;112
Graz(Stadt);601;293929;164233;570;713
Deutschlandsberg;603;61092;35221;180;106
Graz-Umgebung;606;161131;94767;425;351
Leibnitz;610;86399;50891;191;172
Leoben;611;59341;30303;193;101
Liezen;612;79739;44831;226;99
Murau;614;27343;14796;59;17
Voitsberg;616;51165;27409;189;89
Weiz;617;91844;55027;258;106
Murtal;620;71398;37964;293;96
Bruck-Mürzzuschlag;621;98394;49662;357;132
Hartberg-Fürstenfeld;622;91091;53145;299;204
Südoststeiermark;623;84024;48379;294;152
Innsbruck-Stadt;701;130599;82071;252;258
Imst;702;61843;41561;95;86
Innsbruck-Land;703;183827;119771;278;330
Kitzbühel;704;65482;40321;97;74
Kufstein;705;112301;73192;245;124
Landeck;706;44681;31151;90;75
Lienz;707;48854;33001;146;35
Reutte;708;33427;21015;29;46
Schwaz;709;85478;52203;216;109
Bludenz;801;64943;42272;95;83
Bregenz;802;136369;83744;239;165
Dornbirn;803;91344;57748;169;108
Feldkirch;804;110547;70956;176;164
Wien;900;1951354;1298170;4499;7708
