Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;1074;11;10
Rust(Stadt);102;2000;87;0;1
Eisenstadt-Umgebung;103;43861;2809;26;52
Güssing;104;25770;2052;59;14
Jennersdorf;105;17109;1429;26;45
Mattersburg;106;40316;2791;35;34
Neusiedl am See;107;60397;3723;45;59
Oberpullendorf;108;37453;2552;41;14
Oberwart;109;54209;4023;95;30
Klagenfurt Stadt;201;101765;7534;162;149
Villach Stadt;202;63236;4620;73;99
Hermagor;203;18052;2083;30;18
Klagenfurt Land;204;60503;4647;69;74
Sankt Veit an der Glan;205;53880;4466;102;58
Spittal an der Drau;206;75628;6944;128;106
Villach Land;207;64920;5117;92;111
Völkermarkt;208;41834;3923;64;31
Wolfsberg;209;52488;3958;75;91
Feldkirchen;210;29783;2723;53;20
Krems an der Donau(Stadt);301;24837;1765;31;26
Sankt Pölten(Stadt);302;55878;4687;65;63
Waidhofen an der Ybbs(Stadt);303;11134;1033;16;29
Wiener Neustadt(Stadt);304;46456;4567;88;51
Amstetten;305;116592;11837;133;380
Baden;306;147113;11915;141;195
Bruck an der Leitha;307;105507;7497;94;188
Gänserndorf;308;105824;7087;74;89
Gmünd;309;36275;2973;48;48
Hollabrunn;310;51332;2913;56;19
Horn;311;30838;1831;27;25
Korneuburg;312;91777;5239;52;106
Krems(Land);313;56559;3949;43;76
Lilienfeld;314;25474;2063;50;28
Melk;315;78281;7072;106;300
Mistelbach;316;75655;4363;34;97
Mödling;317;119240;7622;127;99
Neunkirchen;318;86323;6931;104;84
Sankt Pölten(Land);319;132064;9447;144;180
Scheibbs;320;41567;4611;47;173
Tulln;321;105762;6394;99;82
Waidhofen an der Thaya;322;25531;1919;14;92
Wiener Neustadt(Land);323;79033;6241;97;102
Zwettl;325;41827;3630;39;53
Linz(Stadt);401;206537;18021;246;403
Steyr(Stadt);402;37952;3199;25;120
Wels(Stadt);403;62654;7074;91;101
Braunau am Inn;404;106492;11997;117;427
Eferding;405;33368;3370;37;59
Freistadt;406;66922;6257;94;114
Gmunden;407;102102;9381;115;308
Grieskirchen;408;65137;6157;78;142
Kirchdorf an der Krems;409;57163;5346;87;130
Linz-Land;410;152391;13338;100;423
Perg;411;69241;6882;78;181
Ried im Innkreis;412;61850;7262;103;126
Rohrbach;413;56623;5614;100;67
Schärding;414;57438;6128;75;103
Steyr-Land;415;60936;5327;74;157
Urfahr-Umgebung;416;86235;7102;76;132
Vöcklabruck;417;137993;13532;166;278
Wels-Land;418;74574;7039;65;118
Salzburg(Stadt);501;155416;14738;150;273
Hallein;502;60992;7784;68;259
Salzburg-Umgebung;503;154624;15148;134;438
Sankt Johann im Pongau;504;81392;10701;115;116
Tamsweg;505;20118;2674;43;55
Zell am See;506;88168;8453;111;63
Graz(Stadt);601;291134;21033;327;474
Deutschlandsberg;603;60871;4574;113;61
Graz-Umgebung;606;157853;10523;258;205
Leibnitz;610;85294;6579;114;94
Leoben;611;59151;3802;113;80
Liezen;612;79592;6573;117;193
Murau;614;27449;2148;30;14
Voitsberg;616;50947;3885;123;54
Weiz;617;90916;7176;151;154
Murtal;620;71356;5776;177;89
Bruck-Mürzzuschlag;621;98054;6958;254;141
Hartberg-Fürstenfeld;622;90619;8120;193;113
Südoststeiermark;623;83841;6739;177;153
Innsbruck-Stadt;701;131059;11370;112;147
Imst;702;60922;6004;43;61
Innsbruck-Land;703;181698;15665;140;167
Kitzbühel;704;64676;5090;45;84
Kufstein;705;111080;10761;148;132
Landeck;706;44346;4107;49;105
Lienz;707;48814;6300;46;41
Reutte;708;33054;2406;6;44
Schwaz;709;84456;9563;133;62
Bludenz;801;64368;4900;51;55
Bregenz;802;135310;11530;111;97
Dornbirn;803;90502;8781;81;57
Feldkirch;804;109057;9508;81;77
Wien;900;1920949;171100;2463;2468
