Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;1522;13;43
Rust(Stadt);102;2000;168;0;3
Eisenstadt-Umgebung;103;43861;4372;35;134
Güssing;104;25770;2971;65;91
Jennersdorf;105;17109;1983;30;48
Mattersburg;106;40316;4263;45;135
Neusiedl am See;107;60397;5677;49;102
Oberpullendorf;108;37453;3953;46;95
Oberwart;109;54209;5930;96;160
Klagenfurt Stadt;201;101765;12729;176;435
Villach Stadt;202;63236;8684;92;253
Hermagor;203;18052;2997;34;92
Klagenfurt Land;204;60503;8061;76;284
Sankt Veit an der Glan;205;53880;6778;114;230
Spittal an der Drau;206;75628;12428;155;421
Villach Land;207;64920;9786;119;318
Völkermarkt;208;41834;6781;71;218
Wolfsberg;209;52488;8284;114;310
Feldkirchen;210;29783;4000;59;119
Krems an der Donau(Stadt);301;24837;2746;35;53
Sankt Pölten(Stadt);302;55878;7266;81;226
Waidhofen an der Ybbs(Stadt);303;11134;2041;23;43
Wiener Neustadt(Stadt);304;46456;6871;113;175
Amstetten;305;116592;20891;139;497
Baden;306;147113;17997;184;555
Bruck an der Leitha;307;105507;10858;102;263
Gänserndorf;308;105824;9754;79;211
Gmünd;309;36275;4858;59;186
Hollabrunn;310;51332;4641;62;178
Horn;311;30838;2895;28;97
Korneuburg;312;91777;7895;63;190
Krems(Land);313;56559;6530;46;174
Lilienfeld;314;25474;4028;53;113
Melk;315;78281;13330;125;324
Mistelbach;316;75655;6719;36;148
Mödling;317;119240;11097;145;228
Neunkirchen;318;86323;12445;124;402
Sankt Pölten(Land);319;132064;16565;168;506
Scheibbs;320;41567;7637;65;185
Tulln;321;105762;9601;102;240
Waidhofen an der Thaya;322;25531;3616;19;129
Wiener Neustadt(Land);323;79033;10665;118;305
Zwettl;325;41827;6413;43;281
Linz(Stadt);401;206537;27648;293;648
Steyr(Stadt);402;37952;5510;42;126
Wels(Stadt);403;62654;10641;111;285
Braunau am Inn;404;106492;22898;168;642
Eferding;405;33368;5448;53;102
Freistadt;406;66922;11388;110;280
Gmunden;407;102102;17048;148;356
Grieskirchen;408;65137;10983;101;265
Kirchdorf an der Krems;409;57163;9057;105;294
Linz-Land;410;152391;22762;166;613
Perg;411;69241;11952;104;241
Ried im Innkreis;412;61850;12719;119;248
Rohrbach;413;56623;10087;116;260
Schärding;414;57438;11260;103;256
Steyr-Land;415;60936;9752;100;267
Urfahr-Umgebung;416;86235;13316;90;304
Vöcklabruck;417;137993;26476;230;525
Wels-Land;418;74574;12469;87;335
Salzburg(Stadt);501;155416;24760;190;600
Hallein;502;60992;13539;85;355
Salzburg-Umgebung;503;154624;29895;182;759
Sankt Johann im Pongau;504;81392;16323;128;348
Tamsweg;505;20118;4299;50;54
Zell am See;506;88168;12820;123;349
Graz(Stadt);601;291134;31333;368;1065
Deutschlandsberg;603;60871;7507;124;326
Graz-Umgebung;606;157853;16927;283;664
Leibnitz;610;85294;10394;123;326
Leoben;611;59151;6307;131;163
Liezen;612;79592;11030;141;356
Murau;614;27449;3066;36;100
Voitsberg;616;50947;5581;130;218
Weiz;617;90916;12111;178;484
Murtal;620;71356;9092;207;220
Bruck-Mürzzuschlag;621;98054;10194;270;306
Hartberg-Fürstenfeld;622;90619;12163;209;357
Südoststeiermark;623;83841;10595;200;256
Innsbruck-Stadt;701;131059;17166;132;423
Imst;702;60922;9551;50;304
Innsbruck-Land;703;181698;25101;161;842
Kitzbühel;704;64676;8579;53;374
Kufstein;705;111080;17762;163;648
Landeck;706;44346;6609;56;242
Lienz;707;48814;10320;59;308
Reutte;708;33054;4879;12;139
Schwaz;709;84456;14163;135;474
Bludenz;801;64368;9002;62;544
Bregenz;802;135310;19836;143;867
Dornbirn;803;90502;13995;94;630
Feldkirch;804;109057;16059;98;868
Wien;900;1920949;226845;2716;4893
