Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederöstereich,"655,7",764,"1856,30",2163
Baden,Niederöstereich,"339,4",498,"1485,50",2180
Bludenz,Vorarlberg,"631,8",405,"2272,80",1457
Braunau am Inn,Oberösterreich,"477,5",504,"1497,80",1581
Bregenz,Vorarlberg,"797,9",#ERROR!,"2389,90",3226
Bruck an der Leitha,Niederöstereich,"244,90",254,"1361,20",1412
Bruck-Mürzzuschlag,Steiermark,539,532,"1382,00",1364
Deutschlandsberg,Steiermark,"356,50",217,"1089,30",663
Dornbirn,Vorarlberg,"920,9",828,"3113,00",2799
Eferding,Oberösterreich,1082,359,"3068,30",1018
Eisenstadt,Burgenland,"472,5",70,"1673,90",248
Eisenstadt-Umgebung,Burgenland,"374,7",162,"1440,90",623
Feldkirch,Vorarlberg,"705,6",763,"2382,30",2576
Feldkirchen,Kärnten,"431,4",129,"1143,70",342
Freistadt,Oberösterreich,"858,5",574,"2463,30",1647
Gänserndorf,Niederöstereich,"219,5",230,"1146,20",1201
Gmünd,Niederöstereich,569,208,1937,708
Gmunden,Oberösterreich,"549,8",560,"2020,40",2058
Graz,Steiermark,"454,2",#ERROR!,"1543,60",4493
Graz-Umgebung,Steiermark,387,604,"1253,90",1957
Grieskirchen,Oberösterreich,"951,1",617,"2766,90",1795
Güssing,Burgenland,"638,2",164,"1692,70",435
Hallein,Salzburg,536,326,"2686,40",1634
Hartberg-Fürstenfeld,Steiermark,"612,5",555,"1723,90",1562
Hermagor,Kärnten,493,89,"1523,20",275
Hollabrunn,Niederöstereich,"376,2",192,"1177,70",601
Horn,Niederöstereich,"255,4",79,"973,00",301
Imst,Tirol,"623,4",377,"2371,30",1434
Innsbruck-Land,Tirol,"667,2",#ERROR!,"2517,00",4542
Innsbruck-Stadt,Tirol,579,764,"3118,30",4115
Jennersdorf,Burgenland,"848,1",145,"1707,90",292
Kirchdorf an der Krems,Oberösterreich,"685,1",391,"1548,90",884
Kitzbühel,Tirol,"571,9",367,"2057,10",1320
Klagenfurt Land,Kärnten,"423,2",254,"1109,70",666
Klagenfurt Stadt,Kärnten,"353,4",358,"1308,00",1325
Korneuburg,Niederöstereich,"334,2",305,"1562,70",1426
Krems (Land),Niederöstereich,524,296,1893,1069
Krems an der Donau,Niederöstereich,"491,3",123,1754,439
Kufstein,Tirol,"716,3",790,"2765,50",3050
Landeck,Tirol,"484,4",215,"3877,30",1721
Leibnitz,Steiermark,"567,5",481,"1649,40",1398
Leoben,Steiermark,"494,1",295,"1475,70",881
Lienz,Tirol,593,289,"1579,90",770
Liezen,Steiermark,"590,1",470,"1640,90",1307
Lilienfeld,Niederöstereich,"487,2",125,"1855,40",476
Linz,Oberösterreich,"557,1",#ERROR!,"2110,40",4360
Linz-Land,Oberösterreich,"583,3",883,"2018,20",3055
Mattersburg,Burgenland,"367,1",147,1349,540
Melk,Niederöstereich,"414,4",324,"1419,60",1110
Mistelbach,Niederöstereich,"224,8",170,"1027,40",777
Mödling,Niederöstereich,"321,5",383,"1599,30",1905
Murau,Steiermark,"413,9",114,"882,30",243
Murtal,Steiermark,"485,4",348,"1237,10",887
Neunkirchen,Niederöstereich,"295,30",255,"1445,40",1248
Neusiedl am See,Burgenland,260,156,"1293,50",776
Oberpullendorf,Burgenland,"660,7",247,"1770,80",662
Oberwart,Burgenland,"529,60",287,"1985,50",1076
Perg,Oberösterreich,"849,7",586,"2327,20",1605
Reutte,Tirol,298,98,"1269,90",417
Ried im Innkreis,Oberösterreich,"1022,90",631,"3041,00",1876
Rohrbach,Oberösterreich,"1321,10",747,"3372,50",1907
Rust,Burgenland,"252,50",5,"1060,60",21
Salzburg,Salzburg,"432,2",670,"1563,00",2423
Salzburg-Umgebung,Salzburg,"578,5",888,"2008,60",3083
Sankt Johann im Pongau,Salzburg,"908,90",738,"3152,90",2560
Sankt Pölten,Niederöstereich,"426,90",237,"1756,30",975
Sankt Pölten (Land),Niederöstereich,"411,5",542,"1522,80",2006
