Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"320,1",373,"7244,20",8441
Baden,Niederösterreich,325,477,"5813,90",8532
Bludenz,Vorarlberg,"76,4",49,"5681,10",3642
Braunau am Inn,Oberösterreich,415,438,"7044,80",7436
Bregenz,Vorarlberg,"145,2",196,"5745,70",7756
Bruck an der Leitha,Niederösterreich,"256,4",266,"4881,70",5064
Bruck-Mürzzuschlag,Steiermark,"117,5",116,"5429,70",5359
Deutschlandsberg,Steiermark,"226,7",138,"5321,40",3239
Dornbirn,Vorarlberg,"153,5",138,"7094,70",6379
Eferding,Oberösterreich,"165,8",55,"7553,20",2506
Eisenstadt,Burgenland,"155,2",23,"5575,10",826
Eisenstadt-Umgebung,Burgenland,"233,6",101,"4773,80",2064
Feldkirch,Vorarlberg,"134,1",145,"6376,40",6895
Feldkirchen,Kärnten,"264,2",79,"6625,00",1981
Freistadt,Oberösterreich,"267,7",179,"7197,00",4812
Gänserndorf,Niederösterreich,"224,3",235,"4621,00",4842
Gmünd,Niederösterreich,279,102,"6398,90",2339
Gmunden,Oberösterreich,"282,7",288,"6670,00",6794
Graz,Steiermark,"145,7",424,"4539,80",13214
Graz-Umgebung,Steiermark,164,256,"4615,90",7204
Grieskirchen,Oberösterreich,"166,5",108,"7213,90",4680
Güssing,Burgenland,"260,7",67,"6475,00",1664
Hallein,Salzburg,"233,5",142,"9519,30",5790
Hartberg-Fürstenfeld,Steiermark,"257,2",233,"6781,00",6144
Hermagor,Kärnten,"171,7",31,"9898,10",1787
Hollabrunn,Niederösterreich,"215,5",110,"4334,50",2212
Horn,Niederösterreich,223,69,"3940,40",1219
Imst,Tirol,"262,9",159,"6968,30",4214
Innsbruck-Land,Tirol,"258,8",467,"6340,20",11441
Innsbruck-Stadt,Tirol,247,326,"6001,00",7919
Jennersdorf,Burgenland,"222,3",38,"6784,80",1160
Kirchdorf an der Krems,Oberösterreich,"285,6",163,"6409,60",3658
Kitzbühel,Tirol,"235,3",151,"6229,00",3997
Klagenfurt Land,Kärnten,"171,6",103,"5956,90",3575
Klagenfurt Stadt,Kärnten,"176,7",179,"5344,50",5414
Korneuburg,Niederösterreich,"225,7",206,"4148,90",3786
Krems (Land),Niederösterreich,"148,7",84,"5047,20",2851
Krems an der Donau,Niederösterreich,"195,7",49,"4777,10",1196
Kufstein,Tirol,"264,8",292,"7393,40",8154
Landeck,Tirol,"236,6",105,"7385,20",3278
Leibnitz,Steiermark,"172,3",146,"5815,50",4929
Leoben,Steiermark,"147,4",88,"4882,70",2915
Lienz,Tirol,"391,9",191,"8910,90",4343
Liezen,Steiermark,"179,5",143,"5871,80",4677
Lilienfeld,Niederösterreich,"280,6",72,"5312,80",1363
Linz,Oberösterreich,"149,6",309,"5439,10",11237
Linz-Land,Oberösterreich,"199,5",302,"5602,80",8481
Mattersburg,Burgenland,"289,7",116,"5049,70",2022
Melk,Niederösterreich,"393,9",308,"6025,00",4711
Mistelbach,Niederösterreich,"208,9",158,"4306,80",3257
Mödling,Niederösterreich,"231,7",276,"4604,80",5485
Murau,Steiermark,"359,4",99,"5692,90",1568
Murtal,Steiermark,"154,8",111,"5513,40",3953
Neunkirchen,Niederösterreich,315,272,"5997,00",5178
Neusiedl am See,Burgenland,"243,4",146,"4785,80",2871
Oberpullendorf,Burgenland,"246,1",92,"5422,10",2027
Oberwart,Burgenland,"418,9",227,"5746,20",3114
Perg,Oberösterreich,"237,8",164,"7410,70",5111
Reutte,Tirol,201,66,"4674,50",1535
Ried im Innkreis,Oberösterreich,"228,6",141,"8109,90",5003
Rohrbach,Oberösterreich,"81,4",46,"8481,70",4796
Rust,Burgenland,101,2,"3636,40",72
Salzburg,Salzburg,"261,3",405,"6503,00",10081
Salzburg-Umgebung,Salzburg,299,459,"7080,50",10868
Sankt Johann im Pongau,Salzburg,"209,4",170,"10769,30",8744
Sankt Pölten,Niederösterreich,"248,6",138,"5686,90",3157
Sankt Pölten (Land),Niederösterreich,"255,1",336,"4975,40",6554
Sankt Veit an der Glan,Kärnten,"142,1",77,"6267,30",3396
Schärding,Oberösterreich,"189,9",109,"8097,10",4647
Scheibbs,Niederösterreich,"446,7",185,"7652,00",3169
Schwaz,Tirol,"241,9",204,"10281,20",8670
Spittal an der Drau,Kärnten,"241,2",183,"6039,40",4582
Steyr,Oberösterreich,205,78,"5213,40",1984
Steyr-Land,Oberösterreich,"143,3",87,"6149,80",3734
Südoststeiermark,Steiermark,"214,2",180,"6056,90",5090
Tamsweg,Salzburg,"182,7",37,"11164,90",2261
Tulln,Niederösterreich,"179,7",188,"4452,50",4657
Urfahr-Umgebung,Oberösterreich,"90,7",78,"6425,20",5526
Villach Land,Kärnten,"219,8",142,"5911,70",3820
Villach Stadt,Kärnten,194,122,"4963,30",3121
Vöcklabruck,Oberösterreich,"339,4",466,"6931,70",9517
Voitsberg,Steiermark,"160,6",82,"5275,80",2693
Völkermarkt,Kärnten,"188,7",79,"7584,40",3175
Waidhofen an der Thaya,Niederösterreich,"276,5",71,"5895,20",1514
Waidhofen an der Ybbs,Niederösterreich,401,45,"6799,10",763
Weiz,Steiermark,235,213,"5435,00",4927
Wels,Oberösterreich,"305,7",191,"7285,10",4551
Wels-Land,Oberösterreich,"261,6",193,"6323,10",4665
Wien,Wien,"343,3",#ERROR!,"5987,00",114423
Wiener Neustadt,Niederösterreich,"292,4",134,"7518,10",3445
Wiener Neustadt (Land),Niederösterreich,"351,2",275,"5793,90",4537
Wolfsberg,Kärnten,"197,7",104,"5752,10",3026
Zell am See,Salzburg,"247,6",217,"7305,90",6402
Zwettl,Niederösterreich,"235,8",99,"6804,50",2857
