Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;9735;25;77
Rust(Stadt);102;2021;1211;5;22
Eisenstadt-Umgebung;103;44488;27708;74;240
Güssing;104;25809;15583;101;93
Jennersdorf;105;17216;9609;44;48
Mattersburg;106;40731;25206;86;204
Neusiedl am See;107;61358;38973;85;393
Oberpullendorf;108;37556;22977;68;205
Oberwart;109;54682;32363;144;252
Klagenfurt Stadt;201;103297;56684;299;232
Villach Stadt;202;64125;34464;174;128
Hermagor;203;18069;10350;63;34
Klagenfurt Land;204;61114;34541;127;139
Sankt Veit an der Glan;205;53953;31842;167;82
Spittal an der Drau;206;75725;43077;275;105
Villach Land;207;65635;37342;205;133
Völkermarkt;208;41947;25528;121;97
Wolfsberg;209;52352;29368;200;80
Feldkirchen;210;29949;16839;83;44
Krems an der Donau(Stadt);301;24930;14695;74;101
Sankt Pölten(Stadt);302;56697;35367;146;279
Waidhofen an der Ybbs(Stadt);303;11187;7713;40;18
Wiener Neustadt(Stadt);304;47407;29299;210;198
Amstetten;305;117442;84892;309;314
Baden;306;148765;92213;343;775
Bruck an der Leitha;307;107297;67297;218;634
Gänserndorf;308;107504;64799;200;601
Gmünd;309;36152;21520;157;61
Hollabrunn;310;51879;30404;105;296
Horn;311;30875;18059;60;101
Korneuburg;312;92442;57361;145;493
Krems(Land);313;56840;36372;105;182
Lilienfeld;314;25491;16861;110;61
Melk;315;78779;56191;346;276
Mistelbach;316;76641;45973;107;352
Mödling;317;120412;73555;289;727
Neunkirchen;318;87048;54151;250;393
Sankt Pölten(Land);319;133497;88265;336;636
Scheibbs;320;41711;30043;95;125
Tulln;321;107723;65952;213;638
Waidhofen an der Thaya;322;25644;15915;77;60
Wiener Neustadt(Land);323;80020;50995;210;381
Zwettl;325;41757;28371;84;120
Linz(Stadt);401;208445;119154;459;566
Steyr(Stadt);402;37915;21908;74;79
Wels(Stadt);403;63542;38014;159;141
Braunau am Inn;404;108388;73718;266;166
Eferding;405;33715;22024;79;95
Freistadt;406;67638;46228;191;194
Gmunden;407;102765;67158;249;334
Grieskirchen;408;65929;45344;150;187
Kirchdorf an der Krems;409;57882;37399;159;145
Linz-Land;410;154320;95496;289;405
Perg;411;69905;47948;152;134
Ried im Innkreis;412;62535;42629;170;105
Rohrbach;413;57034;38747;164;124
Schärding;414;57750;38309;155;74
Steyr-Land;415;61494;40998;154;139
Urfahr-Umgebung;416;87466;59203;158;249
Vöcklabruck;417;139989;95239;336;290
Wels-Land;418;75514;51158;119;207
Salzburg(Stadt);501;155743;98144;313;442
Hallein;502;61262;44322;143;130
Salzburg-Umgebung;503;155982;112577;312;396
Sankt Johann im Pongau;504;81962;55587;184;107
Tamsweg;505;20327;13523;68;41
Zell am See;506;89017;54522;194;112
Graz(Stadt);601;293929;163132;568;963
Deutschlandsberg;603;61092;35073;180;148
Graz-Umgebung;606;161131;94237;425;500
Leibnitz;610;86399;50606;191;183
Leoben;611;59341;30162;192;116
Liezen;612;79739;44669;226;132
Murau;614;27343;14769;59;19
Voitsberg;616;51165;27284;189;106
Weiz;617;91844;54856;256;194
Murtal;620;71398;37799;293;151
Bruck-Mürzzuschlag;621;98394;49467;356;210
Hartberg-Fürstenfeld;622;91091;52824;298;258
Südoststeiermark;623;84024;48165;294;198
Innsbruck-Stadt;701;130599;81658;249;439
Imst;702;61843;41414;94;93
Innsbruck-Land;703;183827;119206;277;429
Kitzbühel;704;65482;40187;97;95
Kufstein;705;112301;73004;243;170
Landeck;706;44681;31025;90;86
Lienz;707;48854;32943;146;53
Reutte;708;33427;20955;29;43
Schwaz;709;85478;52035;216;86
Bludenz;801;64943;42149;95;160
Bregenz;802;136369;83494;237;286
Dornbirn;803;91344;57574;168;229
Feldkirch;804;110547;70703;176;329
Wien;900;1951354;1286128;4457;11927
