Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;7077;22;103
Rust(Stadt);102;2000;892;2;10
Eisenstadt-Umgebung;103;43861;20292;69;347
Güssing;104;25770;11699;95;163
Jennersdorf;105;17109;7689;41;62
Mattersburg;106;40316;18392;82;321
Neusiedl am See;107;60397;27910;83;511
Oberpullendorf;108;37453;16681;63;253
Oberwart;109;54209;24303;145;270
Klagenfurt Stadt;201;101765;42466;276;367
Villach Stadt;202;63236;26568;172;177
Hermagor;203;18052;8381;61;34
Klagenfurt Land;204;60503;26784;126;181
Sankt Veit an der Glan;205;53880;24439;164;200
Spittal an der Drau;206;75628;35328;262;239
Villach Land;207;64920;29415;192;165
Völkermarkt;208;41834;20394;117;142
Wolfsberg;209;52488;24025;178;150
Feldkirchen;210;29783;13676;82;60
Krems an der Donau(Stadt);301;24837;11092;72;185
Sankt Pölten(Stadt);302;55878;26766;136;301
Waidhofen an der Ybbs(Stadt);303;11134;6196;39;37
Wiener Neustadt(Stadt);304;46456;22572;178;245
Amstetten;305;116592;68524;302;537
Baden;306;147113;69343;314;1015
Bruck an der Leitha;307;105507;49069;216;851
Gänserndorf;308;105824;46872;169;880
Gmünd;309;36275;17102;152;180
Hollabrunn;310;51332;22232;92;348
Horn;311;30838;13978;60;223
Korneuburg;312;91777;40100;141;769
Krems(Land);313;56559;28145;97;428
Lilienfeld;314;25474;13706;113;58
Melk;315;78281;44293;289;315
Mistelbach;316;75655;33353;100;537
Mödling;317;119240;52707;267;1011
Neunkirchen;318;86323;41467;246;447
Sankt Pölten(Land);319;132064;66022;296;983
Scheibbs;320;41567;24563;95;155
Tulln;321;105762;47476;206;845
Waidhofen an der Thaya;322;25531;12259;67;122
Wiener Neustadt(Land);323;79033;39202;195;443
Zwettl;325;41827;22840;84;255
Linz(Stadt);401;206537;92008;426;834
Steyr(Stadt);402;37952;17298;66;114
Wels(Stadt);403;62654;30963;155;193
Braunau am Inn;404;106492;61095;252;403
Eferding;405;33368;17083;73;131
Freistadt;406;66922;36967;182;216
Gmunden;407;102102;53925;230;416
Grieskirchen;408;65137;36071;142;307
Kirchdorf an der Krems;409;57163;29689;147;216
Linz-Land;410;152391;74732;275;606
Perg;411;69241;38667;149;346
Ried im Innkreis;412;61850;34371;166;189
Rohrbach;413;56623;31204;158;318
Schärding;414;57438;30977;153;132
Steyr-Land;415;60936;32271;146;266
Urfahr-Umgebung;416;86235;45423;153;421
Vöcklabruck;417;137993;76787;326;571
Wels-Land;418;74574;40596;114;294
Salzburg(Stadt);501;155416;77287;287;988
Hallein;502;60992;36819;138;297
Salzburg-Umgebung;503;154624;91274;299;827
Sankt Johann im Pongau;504;81392;47022;184;355
Tamsweg;505;20118;11050;64;69
Zell am See;506;88168;45525;185;324
Graz(Stadt);601;291134;123817;534;1639
Deutschlandsberg;603;60871;28583;177;221
Graz-Umgebung;606;157853;73071;415;660
Leibnitz;610;85294;40466;182;247
Leoben;611;59151;23699;184;195
Liezen;612;79592;36906;216;298
Murau;614;27449;11914;60;62
Voitsberg;616;50947;22428;178;147
Weiz;617;90916;45038;251;235
Murtal;620;71356;31083;270;174
Bruck-Mürzzuschlag;621;98054;39729;351;312
Hartberg-Fürstenfeld;622;90619;42714;300;287
Südoststeiermark;623;83841;39270;286;264
Innsbruck-Stadt;701;131059;63126;221;821
Imst;702;60922;34096;87;309
Innsbruck-Land;703;181698;93577;261;975
Kitzbühel;704;64676;32801;95;181
Kufstein;705;111080;59831;236;494
Landeck;706;44346;25837;84;190
Lienz;707;48814;26526;132;125
Reutte;708;33054;16799;25;214
Schwaz;709;84456;43142;201;297
Bludenz;801;64368;35139;87;356
Bregenz;802;135310;69985;225;720
Dornbirn;803;90502;47727;160;470
Feldkirch;804;109057;57946;166;634
Wien;900;1920949;939922;4003;16487
