Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"27,5",32,"8577,90",9995
Baden,Niederösterreich,"19,1",28,"6733,90",9882
Bludenz,Vorarlberg,"65,5",42,"6599,90",4231
Braunau am Inn,Oberösterreich,"72,9",77,"8667,70",9149
Bregenz,Vorarlberg,"75,6",102,"7319,20",9880
Bruck an der Leitha,Niederösterreich,28,29,"5865,90",6085
Bruck-Mürzzuschlag,Steiermark,"29,4",29,"6168,40",6088
Deutschlandsberg,Steiermark,"16,4",10,"6655,50",4051
Dornbirn,Vorarlberg,"76,7",69,"8581,70",7716
Eferding,Oberösterreich,"24,1",8,"8451,40",2804
Eisenstadt,Burgenland,"13,5",2,"6668,50",988
Eisenstadt-Umgebung,Burgenland,"13,9",6,"5472,30",2366
Feldkirch,Vorarlberg,"43,5",47,"7670,20",8294
Feldkirchen,Kärnten,10,3,"8039,60",2404
Freistadt,Oberösterreich,12,8,"8275,40",5533
Gänserndorf,Niederösterreich,"55,4",58,"5695,60",5968
Gmünd,Niederösterreich,"24,6",9,"7468,60",2730
Gmunden,Oberösterreich,"14,7",15,"7687,10",7830
Graz,Steiermark,"28,2",82,"5593,80",16282
Graz-Umgebung,Steiermark,"23,1",36,"5612,20",8759
Grieskirchen,Oberösterreich,"10,8",7,"8047,80",5221
Güssing,Burgenland,"3,9",1,"7113,10",1828
Hallein,Salzburg,"32,9",20,"10990,70",6685
Hartberg-Fürstenfeld,Steiermark,"19,9",18,"8146,30",7381
Hermagor,Kärnten,"5,5",1,"10435,40",1884
Hollabrunn,Niederösterreich,"21,6",11,"5137,90",2622
Horn,Niederösterreich,"12,9",4,"4961,90",1535
Imst,Tirol,"180,2",109,"8992,30",5438
Innsbruck-Land,Tirol,"53,2",96,"7667,40",13836
Innsbruck-Stadt,Tirol,"79,6",105,"7377,20",9735
Jennersdorf,Burgenland,0,±0,"7597,80",1299
Kirchdorf an der Krems,Oberösterreich,"8,8",5,"7436,40",4244
Kitzbühel,Tirol,"10,9",7,"6995,70",4489
Klagenfurt Land,Kärnten,"23,3",14,"6971,70",4184
Klagenfurt Stadt,Kärnten,"17,8",18,"6159,90",6240
Korneuburg,Niederösterreich,"8,8",8,"4756,00",4340
Krems (Land),Niederösterreich,"8,9",5,"5847,40",3303
Krems an der Donau,Niederösterreich,28,7,"5524,00",1383
Kufstein,Tirol,"27,2",30,"8504,20",9379
Landeck,Tirol,"33,8",15,"8295,40",3682
Leibnitz,Steiermark,"10,6",9,"6970,60",5908
Leoben,Steiermark,"6,7",4,"5624,80",3358
Lienz,Tirol,"12,3",6,"10897,00",5311
Liezen,Steiermark,10,8,"6841,00",5449
Lilienfeld,Niederösterreich,"54,6",14,"6544,50",1679
Linz,Oberösterreich,"26,1",54,"6643,40",13725
Linz-Land,Oberösterreich,"10,6",16,"6710,70",10158
Mattersburg,Burgenland,15,6,"5719,00",2290
Melk,Niederösterreich,"39,6",31,"7384,50",5774
