Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"13,78","4,31"
Baden,"45,83","7,52"
Bludenz,"17,16","1,56"
Braunau am Inn,"31,61","0,96"
Bregenz,"45,93","12,59"
Bruck an der Leitha,"66,66","7,84"
Bruck-Mürzzuschlag,"16,16","1,01"
Deutschlandsberg,"9,87","1,64"
Dornbirn,"51,18","13,35"
Eferding,0,0
Eisenstadt,"-13,66","6,83"
Eisenstadt-Umgebung,"37,27","9,32"
Feldkirch,"68,44","20,35"
Feldkirchen,"6,68",0
Freistadt,"51,03","9,01"
Gmunden,"49,2","3,94"
Gmünd,"103,34","24,47"
Graz,"33,59","2,77"
Graz-Umgebung,"35,01","7,78"
Grieskirchen,"24,72","3,09"
Gänserndorf,"51,12","4,82"
Güssing,"89,16","11,63"
Hallein,"96,07","14,91"
Hartberg-Fürstenfeld,"17,66",0
Hermagor,"224,98","16,46"
Hollabrunn,"11,8","9,83"
Horn,"9,65","6,43"
Imst,"39,96","6,66"
Innsbruck,"77,21","11,35"
Innsbruck-Land,"54,65","11,15"
Jennersdorf,"5,86",0
Kirchdorf an der Krems,"14,07","1,76"
Kitzbühel,"23,48","7,83"
Klagenfurt,"13,89","0,99"
Klagenfurt Land,"11,71","1,67"
Korneuburg,"53,91","5,5"
Krems (Land),"44,17",0
Krems an der Donau,"80,4","8,04"
Kufstein,"44,67","11,85"
Landeck,133,"9,02"
Leibnitz,"14,26","1,19"
Leoben,"13,32",0
Lienz,"6,15",0
Liezen (inkl. Gröbming),"35,04","6,26"
Lilienfeld,"15,5","3,87"
Linz,"65,62","12,15"
Linz-Land,"34,6","7,32"
Mattersburg,"40,08","10,02"
Melk,"75,68","10,26"
Mistelbach,"62,27","10,6"
Murau,"7,23",0
Murtal,"16,67","1,39"
Mödling,"55,46","3,36"
Neunkirchen,"33,61","1,16"
Neusiedl am See,"78,92","13,43"
Oberpullendorf,"37,32","5,33"
Oberwart,"36,98","1,85"
Perg,"14,61","2,92"
Reutte,"6,12","-3,06"
Ried im Innkreis,"114,37","24,51"
Rohrbach,"26,54","1,77"
Rust,0,0
Salzburg,"39,56","5,19"
Salzburg-Umgebung,"35,46","12,48"
Sankt Johann im Pongau,"35,99","9,93"
Sankt Pölten,"96,29","18,17"
Sankt Pölten (Land),"51,13","2,29"
Sankt Veit an der Glan,11,"3,67"
Scheibbs,"38,64","2,42"
Schwaz,"63,19","10,73"
Schärding,"48,86","1,74"
Spittal an der Drau,"3,94","1,31"
Steyr,"10,47",0
Steyr-Land,"4,96","1,65"
Südoststeiermark,"2,37",0
Tamsweg,"4,92",0
Tulln,"22,16","13,49"
Urfahr-Umgebung,"40,93","5,85"
Villach,"12,85","4,82"
Villach Land,"17,01","4,64"
Voitsberg,"39,09","5,86"
Vöcklabruck,"48,44","2,94"
Völkermarkt,"21,49","9,55"
Waidhofen an der Thaya,"65,67","19,31"
Waidhofen an der Ybbs,"8,88",0
Weiz,"16,6","5,53"
Wels,"59,94","8,1"
Wels-Land,"58,83","1,37"
Wien,"114,68","15,18"
Wiener Neustadt,"37,55","6,63"
Wiener Neustadt (Land),"16,67","2,56"
Wolfsberg,"9,48","1,9"
Zell am See,"12,58",0
Zwettl,"42,63","4,74"
