Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederöstereich,"33,6",39,366,425
Baden,Niederöstereich,"69,1",101,"481,5",704
Bludenz,Vorarlberg,"43,9",28,"743,9",474
Braunau am Inn,Oberösterreich,"31,6",33,"339,1",354
Bregenz,Vorarlberg,"60,3",81,"475,5",639
Bruck an der Leitha,Niederöstereich,"91,2",93,"465,6",475
Bruck-Mürzzuschlag,Steiermark,"42,4",42,193,191
Deutschlandsberg,Steiermark,"14,8",9,"180,9",110
Dornbirn,Vorarlberg,64,57,"578,4",515
Eferding,Oberösterreich,3,1,"386,1",128
Eisenstadt,Burgenland,"20,5",3,"321,1",47
Eisenstadt-Umgebung,Burgenland,"34,9",15,"291,2",125
Feldkirch,Vorarlberg,"124,1",133,"543,1",582
Feldkirchen,Kärnten,"3,3",1,"123,6",37
Freistadt,Oberösterreich,"49,5",33,"489,3",326
Gänserndorf,Niederöstereich,"68,5",71,"466,8",484
Gmünd,Niederöstereich,"92,5",34,"356,2",131
Gmunden,Oberösterreich,"71,8",73,340,346
Graz,Steiermark,"29,1",84,"460,9",1.331
Graz-Umgebung,Steiermark,"32,4",50,"320,2",494
Grieskirchen,Oberösterreich,"24,7",16,"312,1",202
Güssing,Burgenland,"104,7",27,"368,3",95
Hallein,Salzburg,"120,9",73,"452,2",273
Hartberg-Fürstenfeld,Steiermark,"12,1",11,"449,1",407
Hermagor,Kärnten,"93,3",17,"312,8",57
Hollabrunn,Niederöstereich,57,29,"222,2",113
Horn,Niederöstereich,"22,5",7,"382,8",119
Imst,Tirol,"64,9",39,754,453
Innsbruck-Land,Tirol,"83,7",150,588,1.055
Innsbruck-Stadt,Tirol,"143,8",190,1.065,1.407
Jennersdorf,Burgenland,0,0,"111,3",19
Kirchdorf an der Krems,Oberösterreich,"12,3",7,"260,3",148
Kitzbühel,Tirol,"28,2",18,"754,5",482
Klagenfurt Land,Kärnten,"21,7",13,"182,3",109
Klagenfurt Stadt,Kärnten,"17,9",18,"220,2",222
Korneuburg,Niederöstereich,"68,2",62,"512,7",466
Krems (Land),Niederöstereich,"68,9",39,"588,4",333
Krems an der Donau,Niederöstereich,"80,4",20,"570,8",142
Kufstein,Tirol,"49,2",54,895,982
Landeck,Tirol,124,55,"2.673,50",1.186
Leibnitz,Steiermark,"12,1",10,"329,8",272
Leoben,Steiermark,40,24,"194,8",117
Lienz,Tirol,0,0,"375,4",183
Liezen,Steiermark,40,32,"265,3",212
Lilienfeld,Niederöstereich,31,8,399,103
Linz,Oberösterreich,"92,4",190,729,1.500
Linz-Land,Oberösterreich,"70,5",106,"682,1",1.025
Mattersburg,Burgenland,"37,6",15,"370,7",148
Melk,Niederöstereich,50,39,481,375
Mistelbach,Niederöstereich,"64,9",49,"474,3",358
Mödling,Niederöstereich,"79,8",95,"528,6",629
Murau,Steiermark,"7,2",2,141,39
Murtal,Steiermark,"26,4",19,"186,1",134
Neunkirchen,Niederöstereich,"52,1",45,"588,7",508
Neusiedl am See,Burgenland,"99,1",59,403,240
Oberpullendorf,Burgenland,"66,6",25,"218,6",82
Oberwart,Burgenland,"35,1",19,"438,3",237
Perg,Oberösterreich,"26,3",18,"676,3",463
Reutte,Tirol,"3,1",1,"367,3",120
Ried im Innkreis,Oberösterreich,"93,1",57,"488,5",299
Rohrbach,Oberösterreich,"83,2",47,"488,3",276
Rust,Burgenland,0,0,"154,6",3
Salzburg,Salzburg,"40,9",63,"385,2",594
Salzburg-Umgebung,Salzburg,"46,6",71,348,530
Sankt Johann im Pongau,Salzburg,"42,2",34,762,614
Sankt Pölten,Niederöstereich,"130,8",72,"552,3",304
Sankt Pölten (Land),Niederöstereich,"62,6",82,"452,5",593
Sankt Veit an der Glan,Kärnten,"25,7",14,165,90
Schärding,Oberösterreich,"31,4",18,"247,8",142
Scheibbs,Niederöstereich,"14,5",6,"403,4",167
Schwaz,Tirol,"95,4",80,"883,5",741
Spittal an der Drau,Kärnten,"3,9",3,"109,1",83
Steyr,Oberösterreich,"23,6",9,"466,1",178
Steyr-Land,Oberösterreich,"23,2",14,"473,3",286
Südoststeiermark,Steiermark,"5,8",5,"115,2",99
Tamsweg,Salzburg,64,13,"231,3",47
Tulln,Niederöstereich,"44,3",46,"395,1",410
Urfahr-Umgebung,Oberösterreich,"73,7",63,"576,6",493
Villach Land,Kärnten,"12,4",8,"197,9",128
Villach Stadt,Kärnten,"22,5",14,"186,4",116
Vöcklabruck,Oberösterreich,"77,8",106,"397,1",541
Voitsberg,Steiermark,"39,1",20,"328,4",168
Völkermarkt,Kärnten,"105,1",44,"291,3",122
Waidhofen an der Thaya,Niederöstereich,85,22,"598,7",155
Waidhofen an der Ybbs,Niederöstereich,"8,9",1,"275,3",31
Weiz,Steiermark,"15,5",14,331,299
Wels,Oberösterreich,"74,5",46,"657,7",406
Wels-Land,Oberösterreich,"38,3",28,446,326
Wien,Wien,"147,4",#ERROR!,"995,8",18.895
Wiener Neustadt,Niederöstereich,"57,4",26,"594,1",269
Wiener Neustadt (Land),Niederöstereich,41,32,"365,4",285
Wolfsberg,Kärnten,"5,7",3,"168,8",89
Zell am See,Salzburg,"19,4",17,"545,4",477
Zwettl,Niederöstereich,"52,1",22,"457,1",193
